id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
159348,178239,Aishiau Koto Shika Dekinai,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
955,62544,Akagawa Jirou: Yasoukyoku,NULL,1998-07-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31740,131719,Akalabeth: World of Doom,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
193561,4145,Akuji the Heartless,"The game centres on the voodoo priest and warrior Akuji (voiced by Richard Roundtree), who had his heart ripped out on his wedding day, and through the use of voodoo magic is now cursed to wander the Underworld. However, Kaisha, his would-be bride, finds him in hell and speaks to him in soul form: she informs him that it was Orad, Akuji's own brother, who orchestrated his murder. She begs Akuji to escape and stop him, as their families are preparing for war, and Orad is preparing to sacrifice her to the gods. Upon traveling through the first level of the Underworld and consulting loa Baron Samedi Akuji discovers he has a chance for redemption: if he traverses hell and collects the souls of his ancestors, which the Baron despises for their evil, then he will grant Akuji safe passage out of the underworld. On his way through, he must also defeat the wardens of each of the spirit gates, which will enable him to advance on his quest for the souls.",1998-12-31 00:00:00.000,1,NULL,NULL,NULL,79.5262,7
166329,45508,Akumajou Dracula X: Gekka no Yasoukyoku,"The game's story takes place during the year 1797, 5 years after the events of Rondo of Blood and begins with Richter Belmont's defeat of Count Dracula, mirroring the end of the former game. However, despite Dracula being defeated, Richter vanishes without a trace. Castlevania rises again five years later, and while there are no Belmonts to storm the castle, Alucard, the son of Dracula, awakens from his self-induced sleep, and decides to investigate what transpired during his slumber.

Meanwhile, Maria Renard, Richter's sister-in-law, enters Castlevania herself to search for the missing Richter. She assists Alucard multiple times throughout the game.",1998-06-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
59969,11294,Alien Earth,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107530,94315,Aliens Online,NULL,1998-03-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
37447,13305,Alive,NULL,1998-08-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
160005,10663,All-Star Baseball '99,NULL,1998-04-27 00:00:00.000,NULL,NULL,NULL,NULL,50.0000,3
83952,117423,Alurwe: Ein Spaziergang durch Alt-Urfahr West,NULL,1998-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
122705,69959,Amazon Trail 3rd Edition: Rainforest Adventures,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84672,41531,AMOK!,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
137640,138147,Anchorhead,NULL,1998-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
177690,217854,Ancient Evil,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
58314,193330,Ancient Roman: Power of Dark Side,"The game's story, such as it is, follows protagonist Kai, who has grown up under in a village that lives under the subjugation of monsters. After leading a rebellion against these oppressors with the help of fellow slaves Burke and Mishilia, Kai sets off on a journey to discover the mystery behind the rise of the monster menace - a journey that will also bring him into contact with some of the secrets of his own past.",1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69116,45437,Angelique Duet,"The universe is ruled by a queen, all planets are in their balance... but now, the power of the queen is weakening, and the universe is under the danger of destruction... a new queen is needed...

One day, Angelique Limoges, saw something in the sky... someone riding on a horse in the sky. None of her friends saw it... she is the only one who saw it, the chosen one--- the candidate of the Queen. Another candidate was Rosalia-De-Catargena. Both of them come to the Holy Land, where the Queen lives...",1998-07-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104130,79452,Angelique Tenkuu no Requiem,"The Sacred Beast Cosmos is born, and its queen has been chosen. After a brief stay at the Sacred Bird Cosmos, the fledgling cosmos has become hospitable and manifested its first planet. The new Queen and her aide monitor their growing if lifeless realm together in their newly built palace.

One day, a powerful entity calling himself ""the Emperor"" invades the Sacred Bird Cosmos to conquer it for himself. He separates the Sacred Guardians and converts the residents of her home planet into monsters. With the weakening Queen forced into hiding, Rosalia hurries to the Queen of the Sacred Beast Cosmos for assistance. Rosalia gives the protagonist clothes for combat and a legendary rod, Ellicia the Gray, to prepare her for her journey. The protagonist must locate her allies and rescue the Queen of the Sacred Bird Cosmos from the Emperor.",1998-04-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23090,64295,Animal Breeder 2,NULL,1998-05-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
118936,19432,Animaniacs: Ten Pin Alley,NULL,1998-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9442,67868,Anime Freak FX Vol. 6,NULL,1998-02-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4271,66357,Ankh: The Tales of Mystery,NULL,1998-02-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
166655,18666,Anna Kournikova's Smash Court Tennis,"Anna Kournikova's Smash Court Tennis is a simple tennis game which can be played with up to four players. The game features various modes such as a training mode, Street Tennis, which is played on street courts, and Smash Tennis, in which players fight against each other using explosive tennis balls. Along with various tennis characters, players can unlock characters from various Namco games, including Richard Miller from Time Crisis, Heihachi Mishima, Yoshimitsu and Eddy Gordo from Tekken 3, Pac-Man and Reiko Nagase from Ridge Racer Type 4.",1998-11-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
193828,303,Anno 1602: Creation of a New World,NULL,1998-09-24 00:00:00.000,30,NULL,NULL,NULL,87.4722,62
92629,45434,Another Memories,Another Memories is a dating simulation game in which the player controls a young magician apprentice.,1998-06-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34800,74800,Another Mind,NULL,1998-11-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
181835,210820,Antman 2,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
134572,15547,Apocalypse,NULL,1998-10-31 00:00:00.000,3,NULL,NULL,NULL,60.5481,13
144625,206130,Ara Ngc 6397,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18424,43756,Arcade Gears: Image Fight & X Multiply,NULL,1998-04-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
144749,206137,Arcade Horse Racing,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
135142,43925,Arcade's Greatest Hits: The Atari Collection 2,NULL,1998-01-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92363,39597,Area 51/Maximum Force Duo,NULL,1998-03-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
61891,39836,Area 51: Site 4,NULL,1998-02-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
59097,120885,Argo Adventure,NULL,1998-10-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
152487,166163,Arkana Senki Ludo,NULL,1998-07-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77849,13687,Armed Police Batrider,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34023,2610,Armored Moon: The Next Eden,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108481,26819,Army Men,NULL,1998-01-01 00:00:00.000,3,NULL,NULL,NULL,70.0000,4
138530,10860,Asghan: The Dragon Slayer,NULL,1998-12-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
119278,77050,Assault: Retribution,NULL,1998-09-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
173889,217824,Asteroid Blaster,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
63261,80932,Asteroids,"You are an employee of the Astro-Mining Corporation. Your mission is to simply go to an assigned area of space and clear the area of asteroids and the occassional debris. The game consists of five zones, each with a different background and some with special features. Each zone has 15 levels. In addition to the standard asteroids, there are also mined asteroids that explode; indestructible asteroids that are, well, indestructible; fireball comets; crystal asteroids that regenerate; alien egg asteroids containing deadly baby space worms; and ancient energy asteroids that shoot back! And there's plenty of enemies in addition to the asteroids, such as Standard and Super Saucers, Asteroids Tugs, Fuel Transports, Hexes, Nuke Drivers, and Vulturoids.",1998-10-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
148845,39603,Astra Superstars,NULL,1998-07-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31210,94714,Astronōka,NULL,1998-08-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94253,26440,Atelier Elie: The Alchemist of Salburg 2,NULL,1998-12-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94726,104982,Atelier Marie Plus: The Alchemist of Salburg,NULL,1998-06-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5488,45084,Auto Destruct,NULL,1998-03-28 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
71801,210275,Autobahn Raser,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90408,214630,Aventuras na Ilha X,NULL,1998-07-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
115096,46637,Axia,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
63633,77146,Axis & Allies,NULL,1998-10-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129878,45426,Ayakashi Ninden Kunoichiban Plus,NULL,1998-05-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78919,181538,Azarashi,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
177428,43754,B.L.U.E. Legend of Water,NULL,1998-07-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125746,43793,Baby Universe,NULL,1998-11-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
131045,49165,Back Track,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90762,94359,Backstreet Billiards,NULL,1998-11-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116582,50300,Backyard Soccer 1998,NULL,1998-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15134,73165,Bad Machine,NULL,1998-12-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104233,44039,Bakushou Jinsei 64: Mezase! Resort-ou,NULL,1998-12-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
68096,44765,Bakusou Kyoudai Let's & Go!!: Eternal Wings,NULL,1998-08-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
135945,5,Baldur's Gate,"Candlekeep is an ancient fortress situated on the rural Sword Coast. Recently, inexplicable events have been plaguing this quiet place, which has long become a large library where men of wisdom and knowledge can study in peace. Unknown mercenaries try to enter the walls of Candlekeep, interested in a seemingly ordinary and unimportant young person - an orphan who was taken in by the mage Gorion and treated by him as his own child. One night, Gorion decides to leave Candlekeep and take his adopted child to a safe place. However, as they leave the fortress, they are ambushed by a group of assassins. The orphan manages to escape, but Gorion dies in battle.

The gates of Candlekeep are locked, because its inhabitants are afraid to attract to themselves the wrath of the mysterious attackers. Only Imoen, another child who was brought up by Gorion and has been like a sister to the protagonist, is willing to share the uncertain future. The two have nothing, no place to call their home, only a wide hostile world in front of them. A long and perilous journey begins there.

Baldur's Gate is a role-playing game that uses the rule set of Advanced Dungeons & Dragons (AD&D). Set in the universe of Forgotten Realms, the game is the first part of the saga that lets the player explore various towns, wilderness areas and dungeons, undertake many side quests, and find companions for the long journey. The player creates the hero(ine) by selecting his or her class, choosing between fighter, thief, mage, priest, ranger, and druid (including sub-classes, dual- and multi-class characters); alignment (Good-Evil and Lawful-Chaotic axis), and weapon proficiencies. The 2nd edition AD&D rules are applied in the game during combat, character leveling, class restrictions, etc.

Up to six player-controlled characters can participate in combat. Battles occur in the same environment as exploration, and flow in real time, though the player is able to pause combat at any time to issue precise commands to any of the characters. Once the game is unpaused, the characters repeat the last action selected by the player until it is changed or becomes impossible to execute. Characters can freely move during battles; party formation and positioning in combat play a significant role.",1998-12-21 00:00:00.000,119,NULL,NULL,NULL,87.1181,269
176784,46811,Ballistic,NULL,1998-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
165892,221980,Bananas in Pajamas: It's Fun Time,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78224,159092,Bananas in Pyjamas: It's Party Time,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81364,38547,Bang,NULL,1998-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
195645,2148,Banjo-Kazooie,NULL,1998-06-29 00:00:00.000,94,NULL,78.0000,0,85.0769,238
160576,45164,Barbie Adventure: Riding Club,NULL,1998-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
184953,147807,Baroque,NULL,1998-05-21 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
83479,146228,Barrage,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69267,145779,Bass Master Classic: Tournament Edition,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
134619,79820,Batman & Robin,NULL,1998-07-31 00:00:00.000,2,NULL,NULL,NULL,42.9902,9
46939,39728,Batrider,NULL,1998-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
111875,39667,Battle Flip Shot,NULL,1998-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83023,86222,Battle Master,NULL,1998-01-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6083,3421,BattleTanx,NULL,1998-12-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
131858,613,Battlezone,NULL,1998-02-28 00:00:00.000,3,NULL,70.0000,2,80.2410,6
130200,169905,Beached,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130252,169906,Beached II,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
123247,28137,Beast Busters: Second Nightmare,"In 2009 A.D, in the International Specialized Pathologies Hospital (ISPH) in a corner of ""New Tokyo Port Town"", a floating city above Tokyo Bay, an unknown virus breaks out, causing the staff and the patients to mutate into horrific monsters, before spreading to the populace, along with the local animal life. As a result, all contact with the outside world was cut off, and the ISPH became a ""Hospital of Death"". The United Nations, closely monitoring the situation, deploys two marine commandos to investigate.",1998-09-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
99572,135552,beatmania,NULL,1998-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
99564,94746,beatmania 2ndMIX,NULL,1998-03-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72473,94745,beatmania 3rdMIX,NULL,1998-09-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72557,79505,beatmania APPEND 3rdMIX,NULL,1998-12-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94752,135555,beatmania APPEND 3rdMIX mini,NULL,1998-11-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
177172,8459,Beavis and Butt-head: Bunghole in One,NULL,1998-12-31 00:00:00.000,NULL,NULL,43.0000,1,NULL,NULL
86785,133972,Best of Sierra Nr. 7,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
176856,3366,Bio F.R.E.A.K.S.,NULL,1998-01-01 00:00:00.000,1,NULL,NULL,NULL,63.1989,9
160109,12405,Black Dahlia,"Taking place in the 1940s, the game puts the player in control of a rookie government agent, Jim Pearson, whose first case involves investigating Nazi propaganda. The case is not as simple as it sounds, however. Before long, Jim uncovers information and evidence that the Nazis have connections to the supernatural, occultism as well as some very bizarre and ritualistic killings. Jim meets Elizabeth Short who possesses a strange engraved stone known as the ""Black Dahlia"", an artifact coveted by the Nazis as a source of ultimate power. When her brutal murder occurs, the stone disappears. During Jim's search for the missing item, he uncovers a web of evil, deceit and intrigue. Will he get out alive .. and uncorrupted?",1998-02-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
142298,45415,Black/Matrix,NULL,1998-08-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71732,86213,Blasto,NULL,1998-04-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
97921,43787,Blaze and Blade Busters,NULL,1998-09-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
58734,18249,Blaze and Blade: Eternal Quest,NULL,1998-01-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
179827,10500,Blazing Star,"Sometime in their past, the planets Remuria and Mutras started an interplanetary war that showed no sign of ending. The endless fight between the human-like inhabitants of the two planets had gone so long that weapon development moved into dangerous territory: Organic Weapon Production combined with alien technology. Soon, a sentient weapon - Brawshella - was born. Brawshella gathered all animal life on both planets and forced them to do its bidding and attack the humans. In a week, the humans were assimilated by Brawshella.

Yet, once they were assimilated, they found no other purpose in life but to continue fighting each other. After a while, six of the assimilated fighter pilots regained their consciousness and remembered their pasts. Upon discovering their humanity, the pilots were conflicted with following Brawshella's orders or fighting it to fully regain their independence. The pilots finally turn against the machine in a battle to rediscover themselves and reclaim their planets.",1998-01-19 00:00:00.000,3,NULL,NULL,NULL,70.6071,11
63329,92920,Blip,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
51234,125006,Blitter Boy: Operation Monster Mall,NULL,1998-12-01 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
102485,14324,Blockhead II,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
154806,11265,Blood II: The Chosen,NULL,1998-10-31 00:00:00.000,10,NULL,NULL,NULL,70.8621,23
162115,36299,Blood: One Unit Whole Blood,NULL,1998-07-15 00:00:00.000,2,NULL,NULL,NULL,80.0000,2
57208,43816,Blue Breaker Burst: Bishou o Anata to,NULL,1998-08-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
152046,43817,Blue Breaker Burst: Egao no Asu ni,NULL,1998-09-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
131418,7972,Blue's Birthday Adventure,NULL,1998-09-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
154629,3426,Body Harvest,NULL,1998-09-30 00:00:00.000,4,NULL,NULL,NULL,77.4813,11
138965,38626,Bomb Kick,NULL,1998-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
173072,22773,Bomberman Fantasy Race,NULL,1998-08-06 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
187338,3453,Bomberman Hero,NULL,1998-04-30 00:00:00.000,1,NULL,NULL,NULL,69.6892,14
94008,45407,Bomberman Wars,NULL,1998-05-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
102998,27255,Bomberman World,NULL,1998-01-29 00:00:00.000,1,NULL,NULL,NULL,80.0000,7
171733,18786,Bomberman: Party Edition,NULL,1998-12-10 00:00:00.000,4,NULL,NULL,NULL,76.5807,7
55465,217656,Boms Away!,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23184,120655,Boovie,NULL,1998-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
167485,43856,Bottom of the 9th '99,NULL,1998-08-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
52912,57057,Bounty Sword: Double Edge,NULL,1998-07-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130366,146440,Bowlda Dash,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69736,48957,Brain Drain,NULL,1998-04-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
117781,105741,Brandish 4: Nemureru Kami no Tou,NULL,1998-12-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
115275,19791,Brány Skeldalu,"The game is set in an ancient island Rovenland. It is said that Rovenland is the place where elder gods rested when created the world so the land is full of magic. The bilance of world is threatened by 5 mages who build a tower on south of the island and filled it with multiple monsters to keep everyone in distance. They try to open a Gate into forbidden dimension of Zohar. 
 
Freghar, an old scholar decides to stop them. He uses a Rite of Krow-Kane and summons three heroes but dies in process. Heroes then set up to stop mages. They are joined by another three people – a thief Roland, a mage Gralt and a brave son a librarian Erik. 
 
They seek help at Nimeth who is revealed to be the person who trained those mages. They later betrayed him when they came across to the Scroll of Nogran. The scroll promises wealth and power to the person who commits the Rite described in the scroll. In fact it opens a gate to forbidden dimensions. Nimeth then sends heroes to gain five artifacts that mages use to pump their power. 
 
When they gain these artifacts thy return to Nimeth. He sends them to The labyrinth of singing waters where artifacts are melted into a Sword of Revenge. The group then goes to the tower where mages are committing the Rite. Heroes get there in a last minute but they successfully stop the rite and mages are killed. Summoned heroes then return where they come from. Gralt sets up for new adventure, Roland becomes a honorable merchant and Erik returns home.",1998-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
103335,1810,Brave Fencer Musashi,NULL,1998-07-16 00:00:00.000,2,NULL,NULL,NULL,76.9865,7
35569,91891,Brave Prove,The hero of the story goes on a quest to regain the love of a girl named Sheena.,1998-04-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110900,39558,Breakers Revenge,NULL,1998-01-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
